Название,цена,конечная_цена,скидка,Мультиплеер,Одиночный,Кооператив,ММО,Русский,Англикий,количество_языков,недавние_оценки+,все_оценки,позитивная_оценка,негативная_оценка,жанр,дата_релиза,Издатель,ОС,Процессор,Оперативная память,Видеокарта,Место на диске 
"Total War Saga: THRONES OF BRITANNIA - Blood, Sweat and Spears",129.0,129.0,0.0,1,1.0,0.0,0.0,1.0,1.0,13.0,158.0,178.0,110.0,68.0,Экшены,2018-08-29,Feral Interactive (Mac),macOS 10.13.4,1.8GHz Intel Core i3 or better,8 GB ОЗУ,"1GB Nvidia 650M, 2GB AMD Radeon M290, Intel Iris Pro 5200 or better (see notes for more details)",15 GB
The Long Dark,475.0,475.0,0.0,0,1.0,0.0,0.0,1.0,1.0,18.0,290.0,50191.0,45881.0,4310.0,Приключенческие игры,2017-08-01,Hinterland Studio Inc.,SteamOS or Ubuntu 16.04 or 17.04,Dual-Core Intel i5 CPU @ 2GHz+,4 GB ОЗУ,Intel 4xxx Series w/ 512MB VRAM or better,7 GB
Total War: ATTILA - Blood & Burning,129.0,129.0,0.0,0,1.0,0.0,0.0,1.0,1.0,9.0,587.0,656.0,209.0,447.0,Стратегии,2015-03-25,SEGA,Windows 7*,2nd Generation Intel Core i5 • RAM,4 GB ОЗУ,2 GB NVIDIA GeForce GTX 560 Ti or AMD Radeon HD 5870,35 GB
"Warhammer 40,000: Mechanicus",799.0,799.0,0.0,0,1.0,0.0,0.0,1.0,1.0,6.0,25.0,2014.0,1816.0,198.0,Стратегии,2018-11-15,Kasedo Games,"64-bit Windows 7, 64-bit Windows 8 (8.1) or 64-bit Windows 10",3GHz Quad Core,8 GB ОЗУ,GeForce GTX 960 4GB/AMD Radeon R7 200 series/8GB,8 GB
Zero Escape: Zero Time Dilemma,435.0,217.0,50.0,0,1.0,0.0,0.0,1.0,1.0,3.0,12.0,1516.0,1388.0,128.0,Приключенческие игры,2016-06-29,"Spike Chunsoft Co., Ltd.",Windows 7,Intel Core i5-3570K CPU 3.40GHz,8 GB ОЗУ,NVIDIA GeForce GTX650 1GB or AMD HD 7700 1GB(DirectX 11 graphic card required),4 GB
Crash Bandicoot™ N. Sane Trilogy,1399.0,1399.0,0.0,0,1.0,0.0,0.0,1.0,1.0,7.0,26.0,3797.0,3559.0,238.0,Экшены,2018-06-29,Iron Galaxy,Windows 7,Intel Core i5-750 @ 2.67GHz | AMD Phenom II X4 965 @ 3.4GHz,8 GB ОЗУ,NVIDIA GeForce GTX 660 2GB | AMD Radeon HD 7850 2GB,30 GB
Cine Tracer,1549.0,1549.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,31.0,33.0,28.0,5.0,Симуляторы,2018-09-28,Cinematography Database,Windows 10,i7,16 GB ОЗУ,Nvidia 1080ti,30 GB
Warframe Equinox Prime Access: Metamorphosis Pack,1548.0,1548.0,0.0,1,1.0,1.0,0.0,1.0,1.0,14.0,,,,,Экшены,2019-04-02,,Windows 7 64-Бит (32-разрядная не поддерживается),Intel Core 2 Duo e6400 или AMD Athlon x64 4000+ (~2.2 Гигагерц двухъядерный процессор),4 Гигабайт RAM,,
.hack//G.U. Last Recode,1199.0,359.0,70.0,0,0.0,0.0,0.0,1.0,1.0,5.0,1142.0,1299.0,1139.0,160.0,Ролевые игры,2017-11-03,BANDAI NAMCO Entertainment,Windows 7/8/10 (64-bit OS required),"AMD A10-7850K, 3.7 GHz / Intel Core i3-2125, 3.30 GHz",4 GB ОЗУ,GeForce GTX 660 TI 3GB or higher,40 GB
DEAD RISING®,499.0,149.0,70.0,0,1.0,0.0,0.0,1.0,1.0,7.0,28.0,1797.0,1602.0,195.0,Экшены,2016-09-12,Capcom,Windows 7/8/10 64-bit versions,Intel® Core i5 family or AMD equivalent,8 GB ОЗУ,NVIDIA® GeForce® GTX 560 or better / AMD 7790 or better,8 GB
The Legend of Heroes: Trails in the Sky,399.0,199.0,50.0,0,1.0,0.0,0.0,1.0,1.0,2.0,23.0,3736.0,3418.0,318.0,Ролевые игры,2014-07-29,XSEED Games,"Windows Vista, 7 or 8 (64-bit supported)",Core 2 Duo 2GHz or higher,1 GB ОЗУ,"64 MB VRAM, 3D accelerator compatible w/ DirectX 9.0c",4 GB
"Northgard - Svardilfari, Clan of the Horse",133.0,133.0,0.0,1,1.0,1.0,0.0,1.0,1.0,9.0,22.0,22.0,19.0,3.0,Инди,2019-04-23,Shiro Games,Mavericks 10.9 or later,Intel i5 3.1 Ghz Quad core,,Nvidia GTX 660 / Radeon HD 7800 or better,
GTA Online: Shark Cash Cards,,,,1,1.0,0.0,0.0,1.0,1.0,11.0,,,,,Экшены,2015-06-09,Rockstar Games,,,,,
Hatred,154.0,77.0,50.0,0,1.0,0.0,0.0,1.0,1.0,9.0,42.0,7049.0,5482.0,1567.0,Экшены,2015-06-01,Destructive Creations,Windows® 7 (Service Pack 1) / Windows® 8 / Windows® 8.1 / Windows® 10 / (64-bit only),AMD Octa-Core / Intel Quad-Core processor running at 3.4 GHz (AMD FX X8 8350 or Intel Core i5 3570 or newer architectures are recommended),8 GB ОЗУ,AMD/NVIDIA dedicated with at least 2048MB of dedicated VRAM and with at least DirectX 11 and Shader Model 5.0 support. AMD Radeon R9 285 and NVIDIA GeForce GTX 670 and above are recommended graphic cards.,5 GB
Kerbal Space Program,699.0,699.0,0.0,0,1.0,0.0,0.0,1.0,1.0,9.0,180.0,54523.0,49355.0,5168.0,Инди,2015-04-27,Private Division ,,,,,
Totally Accurate Battlegrounds,133.0,133.0,0.0,0,0.0,0.0,0.0,1.0,1.0,2.0,135.0,25881.0,20985.0,4896.0,Экшены,2018-06-05,Landfall,Win 10,Intel Core i7-4770 @ 3.4 GHz or AMD Ryzen 5 1600 @ 3.2 GHz or equivalent,8 GB ОЗУ,NVIDIA GeForce GTX 970 or AMD R9 290X (4GB VRAM with Shader Model 5.0 or better),
ARK: Extinction - Expansion Pack,435.0,435.0,0.0,1,1.0,1.0,1.0,1.0,1.0,21.0,30.0,1602.0,998.0,604.0,Экшены,2018-11-06,Instinct Games,Windows 7/8.1/10 (64-bit versions),Intel Core i5-2400/AMD FX-8320 or better,8 GB ОЗУ,NVIDIA GTX 670 2GB/AMD Radeon HD 7870 2GB or better,20 GB
Cold Blooded Cube,340.0,340.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,,17.0,7.0,10.0,Экшены,2018-10-15,Danikala,Windows XP SP3,Intel Core 2 Duo E8400,1 GB ОЗУ,Intel HD Graphics 4000 / Vega 3,30 MB
Arma 3 Tanks,349.0,349.0,0.0,1,1.0,1.0,0.0,1.0,1.0,14.0,205.0,223.0,190.0,33.0,Экшены,2018-04-11,Bohemia Interactive,Windows 7/ 8 / 10 (64-разрядная),Intel Core i5-4460 или AMD FX 4300 или лучше,,,
Slay the Spire,465.0,465.0,0.0,0,1.0,0.0,0.0,1.0,1.0,15.0,328.0,27194.0,26192.0,1002.0,Инди,2019-01-23,Mega Crit Games,"Windows XP, Vista, 7, 8/8.1, 10",2.0 Ghz,4 GB ОЗУ,"256mb Video Memory, capable of OpenGL 2.0+ support",1 GB
"Total War Saga: THRONES OF BRITANNIA - Blood, Sweat and Spears",129.0,129.0,0.0,1,1.0,0.0,0.0,1.0,1.0,13.0,158.0,178.0,110.0,68.0,Экшены,2018-08-29,Feral Interactive (Mac),macOS 10.13.4,1.8GHz Intel Core i3 or better,8 GB ОЗУ,"1GB Nvidia 650M, 2GB AMD Radeon M290, Intel Iris Pro 5200 or better (see notes for more details)",15 GB
The Long Dark,475.0,475.0,0.0,0,1.0,0.0,0.0,1.0,1.0,18.0,290.0,50191.0,45881.0,4310.0,Приключенческие игры,2017-08-01,Hinterland Studio Inc.,SteamOS or Ubuntu 16.04 or 17.04,Dual-Core Intel i5 CPU @ 2GHz+,4 GB ОЗУ,Intel 4xxx Series w/ 512MB VRAM or better,7 GB
Total War: ATTILA - Blood & Burning,129.0,129.0,0.0,0,1.0,0.0,0.0,1.0,1.0,9.0,587.0,656.0,209.0,447.0,Стратегии,2015-03-25,SEGA,Windows 7*,2nd Generation Intel Core i5 • RAM,4 GB ОЗУ,2 GB NVIDIA GeForce GTX 560 Ti or AMD Radeon HD 5870,35 GB
"Warhammer 40,000: Mechanicus",799.0,799.0,0.0,0,1.0,0.0,0.0,1.0,1.0,6.0,25.0,2014.0,1816.0,198.0,Стратегии,2018-11-15,Kasedo Games,"64-bit Windows 7, 64-bit Windows 8 (8.1) or 64-bit Windows 10",3GHz Quad Core,8 GB ОЗУ,GeForce GTX 960 4GB/AMD Radeon R7 200 series/8GB,8 GB
Zero Escape: Zero Time Dilemma,435.0,217.0,50.0,0,1.0,0.0,0.0,1.0,1.0,3.0,12.0,1516.0,1388.0,128.0,Приключенческие игры,2016-06-29,"Spike Chunsoft Co., Ltd.",Windows 7,Intel Core i5-3570K CPU 3.40GHz,8 GB ОЗУ,NVIDIA GeForce GTX650 1GB or AMD HD 7700 1GB(DirectX 11 graphic card required),4 GB
Crash Bandicoot™ N. Sane Trilogy,1399.0,1399.0,0.0,0,1.0,0.0,0.0,1.0,1.0,7.0,26.0,3797.0,3559.0,238.0,Экшены,2018-06-29,Iron Galaxy,Windows 7,Intel Core i5-750 @ 2.67GHz | AMD Phenom II X4 965 @ 3.4GHz,8 GB ОЗУ,NVIDIA GeForce GTX 660 2GB | AMD Radeon HD 7850 2GB,30 GB
Cine Tracer,1549.0,1549.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,31.0,33.0,28.0,5.0,Симуляторы,2018-09-28,Cinematography Database,Windows 10,i7,16 GB ОЗУ,Nvidia 1080ti,30 GB
Warframe Equinox Prime Access: Metamorphosis Pack,1548.0,1548.0,0.0,1,1.0,1.0,0.0,1.0,1.0,14.0,,,,,Экшены,2019-04-02,,Windows 7 64-Бит (32-разрядная не поддерживается),Intel Core 2 Duo e6400 или AMD Athlon x64 4000+ (~2.2 Гигагерц двухъядерный процессор),4 Гигабайт RAM,,
.hack//G.U. Last Recode,1199.0,359.0,70.0,0,0.0,0.0,0.0,1.0,1.0,5.0,1142.0,1299.0,1139.0,160.0,Ролевые игры,2017-11-03,BANDAI NAMCO Entertainment,Windows 7/8/10 (64-bit OS required),"AMD A10-7850K, 3.7 GHz / Intel Core i3-2125, 3.30 GHz",4 GB ОЗУ,GeForce GTX 660 TI 3GB or higher,40 GB
DEAD RISING®,499.0,149.0,70.0,0,1.0,0.0,0.0,1.0,1.0,7.0,28.0,1797.0,1602.0,195.0,Экшены,2016-09-12,Capcom,Windows 7/8/10 64-bit versions,Intel® Core i5 family or AMD equivalent,8 GB ОЗУ,NVIDIA® GeForce® GTX 560 or better / AMD 7790 or better,8 GB
The Legend of Heroes: Trails in the Sky,399.0,199.0,50.0,0,1.0,0.0,0.0,1.0,1.0,2.0,23.0,3736.0,3418.0,318.0,Ролевые игры,2014-07-29,XSEED Games,"Windows Vista, 7 or 8 (64-bit supported)",Core 2 Duo 2GHz or higher,1 GB ОЗУ,"64 MB VRAM, 3D accelerator compatible w/ DirectX 9.0c",4 GB
"Northgard - Svardilfari, Clan of the Horse",133.0,133.0,0.0,1,1.0,1.0,0.0,1.0,1.0,9.0,22.0,22.0,19.0,3.0,Инди,2019-04-23,Shiro Games,Mavericks 10.9 or later,Intel i5 3.1 Ghz Quad core,,Nvidia GTX 660 / Radeon HD 7800 or better,
GTA Online: Shark Cash Cards,,,,1,1.0,0.0,0.0,1.0,1.0,11.0,,,,,Экшены,2015-06-09,Rockstar Games,,,,,
Hatred,154.0,77.0,50.0,0,1.0,0.0,0.0,1.0,1.0,9.0,42.0,7049.0,5482.0,1567.0,Экшены,2015-06-01,Destructive Creations,Windows® 7 (Service Pack 1) / Windows® 8 / Windows® 8.1 / Windows® 10 / (64-bit only),AMD Octa-Core / Intel Quad-Core processor running at 3.4 GHz (AMD FX X8 8350 or Intel Core i5 3570 or newer architectures are recommended),8 GB ОЗУ,AMD/NVIDIA dedicated with at least 2048MB of dedicated VRAM and with at least DirectX 11 and Shader Model 5.0 support. AMD Radeon R9 285 and NVIDIA GeForce GTX 670 and above are recommended graphic cards.,5 GB
Kerbal Space Program,699.0,699.0,0.0,0,1.0,0.0,0.0,1.0,1.0,9.0,180.0,54523.0,49355.0,5168.0,Инди,2015-04-27,Private Division ,,,,,
Totally Accurate Battlegrounds,133.0,133.0,0.0,0,0.0,0.0,0.0,1.0,1.0,2.0,135.0,25881.0,20985.0,4896.0,Экшены,2018-06-05,Landfall,Win 10,Intel Core i7-4770 @ 3.4 GHz or AMD Ryzen 5 1600 @ 3.2 GHz or equivalent,8 GB ОЗУ,NVIDIA GeForce GTX 970 or AMD R9 290X (4GB VRAM with Shader Model 5.0 or better),
ARK: Extinction - Expansion Pack,435.0,435.0,0.0,1,1.0,1.0,1.0,1.0,1.0,21.0,30.0,1602.0,998.0,604.0,Экшены,2018-11-06,Instinct Games,Windows 7/8.1/10 (64-bit versions),Intel Core i5-2400/AMD FX-8320 or better,8 GB ОЗУ,NVIDIA GTX 670 2GB/AMD Radeon HD 7870 2GB or better,20 GB
Cold Blooded Cube,340.0,340.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,,17.0,7.0,10.0,Экшены,2018-10-15,Danikala,Windows XP SP3,Intel Core 2 Duo E8400,1 GB ОЗУ,Intel HD Graphics 4000 / Vega 3,30 MB
Arma 3 Tanks,349.0,349.0,0.0,1,1.0,1.0,0.0,1.0,1.0,14.0,205.0,223.0,190.0,33.0,Экшены,2018-04-11,Bohemia Interactive,Windows 7/ 8 / 10 (64-разрядная),Intel Core i5-4460 или AMD FX 4300 или лучше,,,
Slay the Spire,465.0,465.0,0.0,0,1.0,0.0,0.0,1.0,1.0,15.0,328.0,27194.0,26192.0,1002.0,Инди,2019-01-23,Mega Crit Games,"Windows XP, Vista, 7, 8/8.1, 10",2.0 Ghz,4 GB ОЗУ,"256mb Video Memory, capable of OpenGL 2.0+ support",1 GB
"Total War Saga: THRONES OF BRITANNIA - Blood, Sweat and Spears",129.0,129.0,0.0,1,1.0,0.0,0.0,1.0,1.0,13.0,158.0,178.0,110.0,68.0,Экшены,2018-08-29,Feral Interactive (Mac),macOS 10.13.4,1.8GHz Intel Core i3 or better,8 GB ОЗУ,"1GB Nvidia 650M, 2GB AMD Radeon M290, Intel Iris Pro 5200 or better (see notes for more details)",15 GB
The Long Dark,475.0,475.0,0.0,0,1.0,0.0,0.0,1.0,1.0,18.0,290.0,50191.0,45881.0,4310.0,Приключенческие игры,2017-08-01,Hinterland Studio Inc.,SteamOS or Ubuntu 16.04 or 17.04,Dual-Core Intel i5 CPU @ 2GHz+,4 GB ОЗУ,Intel 4xxx Series w/ 512MB VRAM or better,7 GB
Total War: ATTILA - Blood & Burning,129.0,129.0,0.0,0,1.0,0.0,0.0,1.0,1.0,9.0,587.0,656.0,209.0,447.0,Стратегии,2015-03-25,SEGA,Windows 7*,2nd Generation Intel Core i5 • RAM,4 GB ОЗУ,2 GB NVIDIA GeForce GTX 560 Ti or AMD Radeon HD 5870,35 GB
"Warhammer 40,000: Mechanicus",799.0,799.0,0.0,0,1.0,0.0,0.0,1.0,1.0,6.0,25.0,2014.0,1816.0,198.0,Стратегии,2018-11-15,Kasedo Games,"64-bit Windows 7, 64-bit Windows 8 (8.1) or 64-bit Windows 10",3GHz Quad Core,8 GB ОЗУ,GeForce GTX 960 4GB/AMD Radeon R7 200 series/8GB,8 GB
Zero Escape: Zero Time Dilemma,435.0,217.0,50.0,0,1.0,0.0,0.0,1.0,1.0,3.0,12.0,1516.0,1388.0,128.0,Приключенческие игры,2016-06-29,"Spike Chunsoft Co., Ltd.",Windows 7,Intel Core i5-3570K CPU 3.40GHz,8 GB ОЗУ,NVIDIA GeForce GTX650 1GB or AMD HD 7700 1GB(DirectX 11 graphic card required),4 GB
Crash Bandicoot™ N. Sane Trilogy,1399.0,1399.0,0.0,0,1.0,0.0,0.0,1.0,1.0,7.0,26.0,3797.0,3559.0,238.0,Экшены,2018-06-29,Iron Galaxy,Windows 7,Intel Core i5-750 @ 2.67GHz | AMD Phenom II X4 965 @ 3.4GHz,8 GB ОЗУ,NVIDIA GeForce GTX 660 2GB | AMD Radeon HD 7850 2GB,30 GB
Cine Tracer,1549.0,1549.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,31.0,33.0,28.0,5.0,Симуляторы,2018-09-28,Cinematography Database,Windows 10,i7,16 GB ОЗУ,Nvidia 1080ti,30 GB
Warframe Equinox Prime Access: Metamorphosis Pack,1548.0,1548.0,0.0,1,1.0,1.0,0.0,1.0,1.0,14.0,,,,,Экшены,2019-04-02,,Windows 7 64-Бит (32-разрядная не поддерживается),Intel Core 2 Duo e6400 или AMD Athlon x64 4000+ (~2.2 Гигагерц двухъядерный процессор),4 Гигабайт RAM,,
.hack//G.U. Last Recode,1199.0,359.0,70.0,0,0.0,0.0,0.0,1.0,1.0,5.0,1142.0,1299.0,1139.0,160.0,Ролевые игры,2017-11-03,BANDAI NAMCO Entertainment,Windows 7/8/10 (64-bit OS required),"AMD A10-7850K, 3.7 GHz / Intel Core i3-2125, 3.30 GHz",4 GB ОЗУ,GeForce GTX 660 TI 3GB or higher,40 GB
DEAD RISING®,499.0,149.0,70.0,0,1.0,0.0,0.0,1.0,1.0,7.0,28.0,1797.0,1602.0,195.0,Экшены,2016-09-12,Capcom,Windows 7/8/10 64-bit versions,Intel® Core i5 family or AMD equivalent,8 GB ОЗУ,NVIDIA® GeForce® GTX 560 or better / AMD 7790 or better,8 GB
The Legend of Heroes: Trails in the Sky,399.0,199.0,50.0,0,1.0,0.0,0.0,1.0,1.0,2.0,23.0,3736.0,3418.0,318.0,Ролевые игры,2014-07-29,XSEED Games,"Windows Vista, 7 or 8 (64-bit supported)",Core 2 Duo 2GHz or higher,1 GB ОЗУ,"64 MB VRAM, 3D accelerator compatible w/ DirectX 9.0c",4 GB
"Northgard - Svardilfari, Clan of the Horse",133.0,133.0,0.0,1,1.0,1.0,0.0,1.0,1.0,9.0,22.0,22.0,19.0,3.0,Инди,2019-04-23,Shiro Games,Mavericks 10.9 or later,Intel i5 3.1 Ghz Quad core,,Nvidia GTX 660 / Radeon HD 7800 or better,
GTA Online: Shark Cash Cards,,,,1,1.0,0.0,0.0,1.0,1.0,11.0,,,,,Экшены,2015-06-09,Rockstar Games,,,,,
Hatred,154.0,77.0,50.0,0,1.0,0.0,0.0,1.0,1.0,9.0,42.0,7049.0,5482.0,1567.0,Экшены,2015-06-01,Destructive Creations,Windows® 7 (Service Pack 1) / Windows® 8 / Windows® 8.1 / Windows® 10 / (64-bit only),AMD Octa-Core / Intel Quad-Core processor running at 3.4 GHz (AMD FX X8 8350 or Intel Core i5 3570 or newer architectures are recommended),8 GB ОЗУ,AMD/NVIDIA dedicated with at least 2048MB of dedicated VRAM and with at least DirectX 11 and Shader Model 5.0 support. AMD Radeon R9 285 and NVIDIA GeForce GTX 670 and above are recommended graphic cards.,5 GB
Kerbal Space Program,699.0,699.0,0.0,0,1.0,0.0,0.0,1.0,1.0,9.0,180.0,54523.0,49355.0,5168.0,Инди,2015-04-27,Private Division ,,,,,
Totally Accurate Battlegrounds,133.0,133.0,0.0,0,0.0,0.0,0.0,1.0,1.0,2.0,135.0,25881.0,20985.0,4896.0,Экшены,2018-06-05,Landfall,Win 10,Intel Core i7-4770 @ 3.4 GHz or AMD Ryzen 5 1600 @ 3.2 GHz or equivalent,8 GB ОЗУ,NVIDIA GeForce GTX 970 or AMD R9 290X (4GB VRAM with Shader Model 5.0 or better),
ARK: Extinction - Expansion Pack,435.0,435.0,0.0,1,1.0,1.0,1.0,1.0,1.0,21.0,30.0,1602.0,998.0,604.0,Экшены,2018-11-06,Instinct Games,Windows 7/8.1/10 (64-bit versions),Intel Core i5-2400/AMD FX-8320 or better,8 GB ОЗУ,NVIDIA GTX 670 2GB/AMD Radeon HD 7870 2GB or better,20 GB
Cold Blooded Cube,340.0,340.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,,17.0,7.0,10.0,Экшены,2018-10-15,Danikala,Windows XP SP3,Intel Core 2 Duo E8400,1 GB ОЗУ,Intel HD Graphics 4000 / Vega 3,30 MB
Arma 3 Tanks,349.0,349.0,0.0,1,1.0,1.0,0.0,1.0,1.0,14.0,205.0,223.0,190.0,33.0,Экшены,2018-04-11,Bohemia Interactive,Windows 7/ 8 / 10 (64-разрядная),Intel Core i5-4460 или AMD FX 4300 или лучше,,,
Slay the Spire,465.0,465.0,0.0,0,1.0,0.0,0.0,1.0,1.0,15.0,328.0,27194.0,26192.0,1002.0,Инди,2019-01-23,Mega Crit Games,"Windows XP, Vista, 7, 8/8.1, 10",2.0 Ghz,4 GB ОЗУ,"256mb Video Memory, capable of OpenGL 2.0+ support",1 GB
"Total War Saga: THRONES OF BRITANNIA - Blood, Sweat and Spears",129.0,129.0,0.0,1,1.0,0.0,0.0,1.0,1.0,13.0,158.0,178.0,110.0,68.0,Экшены,2018-08-29,Feral Interactive (Mac),macOS 10.13.4,1.8GHz Intel Core i3 or better,8 GB ОЗУ,"1GB Nvidia 650M, 2GB AMD Radeon M290, Intel Iris Pro 5200 or better (see notes for more details)",15 GB
The Long Dark,475.0,475.0,0.0,0,1.0,0.0,0.0,1.0,1.0,18.0,290.0,50191.0,45881.0,4310.0,Приключенческие игры,2017-08-01,Hinterland Studio Inc.,SteamOS or Ubuntu 16.04 or 17.04,Dual-Core Intel i5 CPU @ 2GHz+,4 GB ОЗУ,Intel 4xxx Series w/ 512MB VRAM or better,7 GB
Total War: ATTILA - Blood & Burning,129.0,129.0,0.0,0,1.0,0.0,0.0,1.0,1.0,9.0,587.0,656.0,209.0,447.0,Стратегии,2015-03-25,SEGA,Windows 7*,2nd Generation Intel Core i5 • RAM,4 GB ОЗУ,2 GB NVIDIA GeForce GTX 560 Ti or AMD Radeon HD 5870,35 GB
"Warhammer 40,000: Mechanicus",799.0,799.0,0.0,0,1.0,0.0,0.0,1.0,1.0,6.0,25.0,2014.0,1816.0,198.0,Стратегии,2018-11-15,Kasedo Games,"64-bit Windows 7, 64-bit Windows 8 (8.1) or 64-bit Windows 10",3GHz Quad Core,8 GB ОЗУ,GeForce GTX 960 4GB/AMD Radeon R7 200 series/8GB,8 GB
Zero Escape: Zero Time Dilemma,435.0,217.0,50.0,0,1.0,0.0,0.0,1.0,1.0,3.0,12.0,1516.0,1388.0,128.0,Приключенческие игры,2016-06-29,"Spike Chunsoft Co., Ltd.",Windows 7,Intel Core i5-3570K CPU 3.40GHz,8 GB ОЗУ,NVIDIA GeForce GTX650 1GB or AMD HD 7700 1GB(DirectX 11 graphic card required),4 GB
Crash Bandicoot™ N. Sane Trilogy,1399.0,1399.0,0.0,0,1.0,0.0,0.0,1.0,1.0,7.0,26.0,3797.0,3559.0,238.0,Экшены,2018-06-29,Iron Galaxy,Windows 7,Intel Core i5-750 @ 2.67GHz | AMD Phenom II X4 965 @ 3.4GHz,8 GB ОЗУ,NVIDIA GeForce GTX 660 2GB | AMD Radeon HD 7850 2GB,30 GB
Cine Tracer,1549.0,1549.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,31.0,33.0,28.0,5.0,Симуляторы,2018-09-28,Cinematography Database,Windows 10,i7,16 GB ОЗУ,Nvidia 1080ti,30 GB
Warframe Equinox Prime Access: Metamorphosis Pack,1548.0,1548.0,0.0,1,1.0,1.0,0.0,1.0,1.0,14.0,,,,,Экшены,2019-04-02,,Windows 7 64-Бит (32-разрядная не поддерживается),Intel Core 2 Duo e6400 или AMD Athlon x64 4000+ (~2.2 Гигагерц двухъядерный процессор),4 Гигабайт RAM,,
.hack//G.U. Last Recode,1199.0,359.0,70.0,0,0.0,0.0,0.0,1.0,1.0,5.0,1142.0,1299.0,1139.0,160.0,Ролевые игры,2017-11-03,BANDAI NAMCO Entertainment,Windows 7/8/10 (64-bit OS required),"AMD A10-7850K, 3.7 GHz / Intel Core i3-2125, 3.30 GHz",4 GB ОЗУ,GeForce GTX 660 TI 3GB or higher,40 GB
DEAD RISING®,499.0,149.0,70.0,0,1.0,0.0,0.0,1.0,1.0,7.0,28.0,1797.0,1602.0,195.0,Экшены,2016-09-12,Capcom,Windows 7/8/10 64-bit versions,Intel® Core i5 family or AMD equivalent,8 GB ОЗУ,NVIDIA® GeForce® GTX 560 or better / AMD 7790 or better,8 GB
The Legend of Heroes: Trails in the Sky,399.0,199.0,50.0,0,1.0,0.0,0.0,1.0,1.0,2.0,23.0,3736.0,3418.0,318.0,Ролевые игры,2014-07-29,XSEED Games,"Windows Vista, 7 or 8 (64-bit supported)",Core 2 Duo 2GHz or higher,1 GB ОЗУ,"64 MB VRAM, 3D accelerator compatible w/ DirectX 9.0c",4 GB
"Northgard - Svardilfari, Clan of the Horse",133.0,133.0,0.0,1,1.0,1.0,0.0,1.0,1.0,9.0,22.0,22.0,19.0,3.0,Инди,2019-04-23,Shiro Games,Mavericks 10.9 or later,Intel i5 3.1 Ghz Quad core,,Nvidia GTX 660 / Radeon HD 7800 or better,
GTA Online: Shark Cash Cards,,,,1,1.0,0.0,0.0,1.0,1.0,11.0,,,,,Экшены,2015-06-09,Rockstar Games,,,,,
Hatred,154.0,77.0,50.0,0,1.0,0.0,0.0,1.0,1.0,9.0,42.0,7049.0,5482.0,1567.0,Экшены,2015-06-01,Destructive Creations,Windows® 7 (Service Pack 1) / Windows® 8 / Windows® 8.1 / Windows® 10 / (64-bit only),AMD Octa-Core / Intel Quad-Core processor running at 3.4 GHz (AMD FX X8 8350 or Intel Core i5 3570 or newer architectures are recommended),8 GB ОЗУ,AMD/NVIDIA dedicated with at least 2048MB of dedicated VRAM and with at least DirectX 11 and Shader Model 5.0 support. AMD Radeon R9 285 and NVIDIA GeForce GTX 670 and above are recommended graphic cards.,5 GB
Kerbal Space Program,699.0,699.0,0.0,0,1.0,0.0,0.0,1.0,1.0,9.0,180.0,54523.0,49355.0,5168.0,Инди,2015-04-27,Private Division ,,,,,
Totally Accurate Battlegrounds,133.0,133.0,0.0,0,0.0,0.0,0.0,1.0,1.0,2.0,135.0,25879.0,20983.0,4896.0,Экшены,2018-06-05,Landfall,Win 10,Intel Core i7-4770 @ 3.4 GHz or AMD Ryzen 5 1600 @ 3.2 GHz or equivalent,8 GB ОЗУ,NVIDIA GeForce GTX 970 or AMD R9 290X (4GB VRAM with Shader Model 5.0 or better),
ARK: Extinction - Expansion Pack,435.0,435.0,0.0,1,1.0,1.0,1.0,1.0,1.0,21.0,30.0,1602.0,998.0,604.0,Экшены,2018-11-06,Instinct Games,Windows 7/8.1/10 (64-bit versions),Intel Core i5-2400/AMD FX-8320 or better,8 GB ОЗУ,NVIDIA GTX 670 2GB/AMD Radeon HD 7870 2GB or better,20 GB
Cold Blooded Cube,340.0,340.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,,17.0,7.0,10.0,Экшены,2018-10-15,Danikala,Windows XP SP3,Intel Core 2 Duo E8400,1 GB ОЗУ,Intel HD Graphics 4000 / Vega 3,30 MB
Arma 3 Tanks,349.0,349.0,0.0,1,1.0,1.0,0.0,1.0,1.0,14.0,205.0,223.0,190.0,33.0,Экшены,2018-04-11,Bohemia Interactive,Windows 7/ 8 / 10 (64-разрядная),Intel Core i5-4460 или AMD FX 4300 или лучше,,,
Slay the Spire,465.0,465.0,0.0,0,1.0,0.0,0.0,1.0,1.0,15.0,328.0,27194.0,26192.0,1002.0,Инди,2019-01-23,Mega Crit Games,"Windows XP, Vista, 7, 8/8.1, 10",2.0 Ghz,4 GB ОЗУ,"256mb Video Memory, capable of OpenGL 2.0+ support",1 GB
